Row Labels,연도,도시지역면적,비만율,유치원 원아수,초등학교 학생수,토지거래면적,혼인건수,노인 천명당 노인여가복지시설수,1인가구비율,등록외국인 현황,유아 천명당 보육시설수,지가변동률,출생아수,학급당 학생수,대학교수,독거노인가구비율,유치원수,인구 십만명당 문화기반시설수,인구 천명당 사설학원수,주택수,초등학교수,평균연령,빈집수,빈집지수
경기 파주시,2016,80201620,27.8,8016,27390,15458,2329,5.4,22.2,10238,17.7,1.167,3876,25.03,1,5.0,99,7.43,1.11,134444,57,38.9,5096,3.6519994000000002
경남 양산시,2018,312975446,31.9,7649,21028,11253,1934,4.81,26.7,6108,17.7,3.717,3033,25.18,2,6.2,66,3.575,1.54,126874,37,40.0,10802,7.845957200000001
경남 진주시,2017,275744020,28.8,4169,19689,13666,1571,7.38,30.3,4866,17.2,3.669,2296,24.41,6,8.2,52,4.62,2.49,114935,45,41.0,7695,6.2749735
충남 서천군,2017,22699229,32.9,265,1895,7332,172,14.88,32.0,1247,16.9,1.886,214,16.19,0,18.7,19,9.06,1.01,24767,18,51.8,3644,12.8260181
부산 부산진구,2018,29666536,25.9,5057,15439,722,1741,2.97,34.1,2462,12.1,5.404,2018,22.54,3,8.7,45,2.57,1.51,135427,32,43.9,13693,9.1825376
경남 양산시,2017,310686067,27.5,7033,19371,13324,1913,5.12,26.0,5915,16.9,4.102,3005,25.65,2,6.0,64,3.54,1.46,123067,36,39.6,12469,9.1997698
경기 안산시,2017,149656734,30.6,9045,36926,7611,3517,2.72,28.7,53733,18.5,3.08,4381,25.78,3,4.4,98,3.98,1.51,196205,54,39.2,11058,5.3352504000000005
서울 송파구,2018,33858375,25.1,6074,31368,2641,3705,1.48,26.1,6872,13.3,5.943,4567,24.43,1,4.1,56,3.07,1.58,199739,39,40.9,4528,2.2167065999999997
충북 옥천군,2017,55061021,30.7,579,2200,9963,181,16.07,27.8,741,14.5,2.523,209,17.97,1,14.6,17,11.59,0.68,21248,12,49.0,2805,11.661747
전남 무안군,2016,30740673,28.4,927,4421,9597,384,19.74,32.5,1672,13.1,2.403,612,21.92,2,11.6,21,8.53,1.66,31598,18,41.6,4854,13.3161418
경북 경주시,2018,464832544,30.0,3171,11785,25432,1127,8.43,33.8,11296,17.4,2.692,1251,21.58,4,11.0,62,7.395,1.34,106584,43,44.9,16815,13.626528600000002
전북 무주군,2016,12353295,26.3,253,1075,7105,85,28.39,33.2,259,12.6,1.545,124,15.14,0,18.6,9,32.07,0.52,10821,10,50.6,1752,13.934621799999999
전남 함평군,2016,27940331,24.6,168,1047,11214,116,26.54,36.3,646,11.0,2.01,205,16.58,0,21.5,12,14.54,0.55,14455,11,51.5,2128,12.8324187
경기 안산시,2016,149643348,30.3,9753,38137,8308,3944,2.89,28.0,54497,18.4,2.314,5131,26.57,3,4.1,100,3.77,1.47,195684,54,38.6,11931,5.7466946
서울 구로구,2016,20119485,28.9,3482,19143,791,2674,2.53,26.8,32049,15.8,2.439,3736,25.12,3,5.0,36,3.11,0.98,120431,24,41.5,3068,2.4842306
전북 임실군,2017,17980530,27.3,215,1025,11820,111,28.84,36.8,413,10.2,3.277,178,11.73,1,20.1,14,16.58,0.56,12571,15,51.2,2047,14.0032836
충북 충주시,2016,108722161,32.7,2246,10257,24547,934,10.91,32.3,4725,14.2,1.521,1428,22.42,1,8.2,45,7.2,1.45,80301,38,42.6,9284,10.3633421
부산 연제구,2017,12078474,23.3,1684,9440,1180,960,2.64,26.9,777,10.5,6.902,1278,24.07,2,7.3,17,1.93,1.35,68314,16,43.3,4669,6.3973802
경기 성남시,2018,141820897,26.7,10848,47386,7018,5228,2.13,28.6,17933,15.5,5.651,6453,25.12,3,5.6,133,2.275,2.05,255925,72,41.3,6933,2.6375457
부산 남구,2016,42507261,25.5,3151,12206,1191,1153,2.76,27.9,3845,12.5,4.87,1718,24.67,4,7.1,25,3.59,1.15,99806,21,42.4,10201,9.2730463
경남 진주시,2018,275744020,33.2,4217,20019,10644,1468,7.08,30.5,5108,17.2,3.303,2161,23.26,6,8.6,51,4.625,2.52,118859,44,41.5,9750,7.581118000000001
경기 안양시,2018,58480054,32.8,6474,29276,1734,2935,2.34,21.6,7408,18.4,4.244,4066,25.41,4,5.1,82,2.825,1.86,177651,41,41.1,6123,3.3318097
강원 강릉시,2016,84762822,31.6,1964,10404,12725,920,5.62,33.3,1875,18.0,2.626,1236,23.85,4,8.9,38,15.43,1.9,77779,35,43.0,6524,7.7387519000000005
강원 홍천군,2017,30715247,39.0,661,2938,23267,322,9.12,31.5,945,16.6,3.267,378,16.55,0,12.1,25,8.53,1.15,28731,25,47.4,3731,11.4934385
경남 양산시,2016,310686067,32.1,6644,18322,14896,1828,5.47,25.6,5938,17.6,3.067,2901,26.18,2,5.8,62,3.47,1.46,110979,35,39.2,9721,8.0538525
부산 기장군,2017,221563955,26.9,3609,10375,6868,832,8.47,24.4,1998,14.6,7.004,1636,24.82,0,7.1,35,4.33,1.19,57542,21,39.8,5586,8.8486884
인천 미추홀구,2016,24840389,31.8,4655,16932,1560,2428,1.81,28.8,7766,12.3,1.557,2998,24.96,2,5.9,45,3.6,0.85,138880,22,41.4,7909,5.3880059000000005
경북 성주군,2017,10584723,28.7,212,1225,12754,157,16.3,33.4,1708,12.3,3.946,273,14.73,0,15.7,15,8.86,0.66,16679,12,50.8,1907,10.260411099999999
전남 장흥군,2017,37238230,32.3,317,1500,12712,126,25.43,36.5,550,14.4,3.06,161,15.36,0,21.5,16,12.46,0.7,17146,15,51.3,2200,11.371859800000001
부산 수영구,2017,14084751,27.9,2142,6154,1072,884,1.97,30.7,1265,11.0,7.756,1082,24.11,0,7.7,22,1.67,1.63,64543,10,44.8,6186,8.746058900000001
경북 구미시,2017,185781767,31.5,10454,26881,14728,2470,7.69,30.4,5449,18.1,2.798,3727,25.42,3,4.0,101,2.84,2.08,142140,48,37.0,15087,9.5956801
광주 광산구,2018,201906112,29.0,8418,31252,5521,1950,7.28,27.4,12954,18.0,5.474,2935,24.44,4,4.6,90,1.98,2.35,140371,45,36.9,9022,6.0391049
인천 서구,2018,111605882,34.7,9249,33036,6471,2935,3.13,21.6,12715,14.8,3.845,4148,24.35,0,3.9,85,2.42,1.35,178078,44,39.0,10139,5.3868673
경기 양주시,2018,150455384,34.4,2880,13088,8537,994,5.68,23.6,7299,22.8,3.121,1304,23.36,1,6.3,49,6.03,1.13,76037,33,41.6,5362,6.5873045
인천 동구,2018,7596941,35.3,999,3898,225,308,2.08,26.8,928,20.6,2.659,382,21.49,1,10.5,13,6.53,0.71,25011,8,45.0,11484,31.467324299999998
울산 중구,2016,37063741,23.8,3491,11987,1657,1361,2.03,24.6,2418,10.9,3.566,2107,25.6,0,5.5,37,2.47,1.86,69630,21,40.4,3014,4.1490006
경북 봉화군,2017,9484653,35.6,175,994,21137,88,17.98,34.0,302,11.1,2.6,167,13.51,0,19.8,17,12.03,0.39,15313,14,53.4,2187,12.4971429
서울 은평구,2017,29788522,27.5,4242,22409,1135,2331,1.64,25.9,4408,14.3,3.315,2930,24.47,1,6.2,48,2.47,1.07,143727,30,42.4,4691,3.1606677999999997
경기 안양시,2016,58457915,27.8,7316,30053,2812,3308,2.59,20.5,7238,17.3,2.646,4776,26.97,4,4.6,87,2.51,1.86,175355,41,39.9,5027,2.7868634
경기 양평군,2016,51198870,27.6,696,5029,17125,445,10.52,29.5,1513,13.0,1.815,629,22.06,1,10.4,27,17.06,0.68,39449,22,45.9,4131,9.4791189
경북 군위군,2016,7443500,26.8,114,499,12254,61,18.72,36.4,616,10.5,2.523,101,13.52,0,21.1,8,20.69,0.33,10650,7,54.6,1387,11.5228047
서울 도봉구,2018,20679052,27.5,2686,15962,1040,1471,1.77,24.4,2236,19.5,4.387,1707,22.62,1,7.2,29,3.51,0.99,105526,23,43.9,2785,2.5712993
전남 여수시,2016,345097039,28.3,3321,14929,10585,1453,7.99,27.5,4048,10.3,3.586,2286,23.51,1,8.9,76,4.15,1.98,108843,50,42.5,12507,10.306551299999999
경북 예천군,2016,14497080,27.6,270,1437,12299,143,18.08,33.8,522,12.0,3.474,238,16.82,1,20.3,13,13.0,0.71,21375,11,51.6,3263,13.243769799999999
서울 구로구,2017,20136328,27.7,3271,18965,816,2460,2.43,27.5,30817,16.6,3.723,3139,24.61,3,5.4,36,3.65,1.05,121684,24,42.2,3188,2.5530143
서울 서초구,2017,46899887,24.3,3122,22939,1981,2288,1.83,25.5,4299,9.5,4.396,3039,27.43,1,3.6,28,3.85,2.47,128977,24,40.1,4674,3.497168
경기 의왕시,2018,53991234,33.2,1614,7397,1748,613,3.7,20.6,1152,19.1,4.145,869,23.85,1,5.0,24,5.16,1.16,47471,13,41.6,1284,2.633576
서울 관악구,2017,29563482,25.0,4147,16227,1465,3205,1.29,46.0,17632,15.6,4.045,2931,23.52,1,4.7,35,2.19,0.9,124170,22,41.2,917,0.7330898
충북 진천군,2016,25862494,31.8,802,3969,9760,362,17.67,30.0,5317,12.0,1.9,533,20.65,0,8.8,17,11.44,1.12,29146,15,41.9,4614,13.6670616
부산 동구,2017,11593305,26.9,820,2456,246,361,2.77,35.7,1502,15.1,5.365,373,22.03,0,13.4,10,4.5,0.91,30842,8,47.9,3327,9.736896
전북 전주시,2018,197627900,32.7,10325,38967,6976,2944,4.87,30.0,7961,19.2,3.967,3827,25.08,7,6.8,124,5.64,3.08,224576,72,40.6,20178,8.2441962
경북 봉화군,2018,9484653,33.0,172,995,17119,81,17.67,34.3,307,10.9,2.808,153,12.9,0,20.0,17,12.08,0.4,15276,14,53.9,2170,12.4383813
강원 원주시,2018,88038796,37.0,4950,19636,21867,1645,6.27,31.6,3351,20.0,3.946,2041,23.7,4,6.7,72,5.545,1.75,128037,49,41.3,13747,9.6957344
울산 북구,2018,120602620,32.0,4927,14646,2510,1241,5.51,19.7,2421,14.1,3.404,1826,23.88,0,3.4,39,5.165,1.8,67954,20,37.2,3891,5.4158257
세종특별자치시,2018,142715907,27.8,6393,24865,18305,2038,11.06,30.0,4940,13.4,7.419,3703,20.72,3,3.8,59,4.825,1.59,118959,47,36.2,14242,10.692111899999999
강원 고성군,2016,12421767,31.8,197,973,5815,178,11.47,44.1,635,13.2,2.161,147,13.01,1,12.7,11,43.17,0.56,11334,14,46.0,825,6.785097499999999
경기 파주시,2018,80918908,33.6,7593,28569,24775,2324,4.98,23.8,11274,17.7,9.533,3227,24.16,1,5.3,99,8.615,1.27,150361,57,39.8,9979,6.2236497
경남 통영시,2016,61681820,27.7,2209,7931,5722,723,7.49,28.7,4333,15.1,1.018,1059,24.42,0,8.8,30,10.13,1.57,48844,20,42.0,4322,8.129255500000001
서울 동대문구,2018,14245433,29.4,3162,13721,827,1747,1.84,37.8,16286,16.7,6.241,1886,22.81,4,6.7,33,2.865,1.04,100802,21,42.1,2659,2.5700506
전북 임실군,2018,17980530,21.8,185,1001,9009,99,28.42,37.3,370,10.9,3.128,156,11.08,1,20.1,14,16.59,0.53,12679,15,51.8,2001,13.630790200000002
전남 완도군,2017,26633097,33.2,611,2101,8023,219,15.51,33.6,1769,11.7,3.221,331,15.51,0,17.7,24,9.6,0.63,21443,21,49.8,2982,12.208802500000001
충남 당진시,2016,76388108,29.2,1714,9576,17214,1124,9.48,30.2,5240,14.5,1.702,1717,24.01,1,7.3,36,7.2,1.21,58838,30,41.2,5749,8.9011721
경북 상주시,2016,50256371,24.3,1360,4093,25141,349,16.04,32.8,902,13.3,2.085,510,19.45,0,16.5,36,9.82,1.06,42553,28,48.7,5019,10.5503237
전북 익산시,2017,76091104,30.6,4477,15896,14789,1246,9.98,31.8,5167,17.3,3.911,1874,22.53,2,9.0,87,7.0,2.21,114302,61,42.2,11448,9.1037773
부산 사상구,2018,36106275,33.0,3081,8349,648,998,2.68,30.7,5181,15.1,4.625,1245,21.54,3,8.1,31,1.765,0.81,75574,21,43.4,3263,4.1389195
서울 용산구,2017,21898766,25.7,1672,7624,957,1357,2.17,36.3,15283,13.8,5.225,1464,23.24,1,6.4,17,6.98,0.76,71356,15,42.2,5274,6.882422000000001
서울 용산구,2016,21870000,23.1,1779,7923,601,1366,2.21,35.1,14861,12.5,3.133,1708,23.94,1,6.3,17,6.08,0.72,70868,15,41.9,5742,7.495105100000001
인천 중구,2017,141227343,27.2,2018,7346,3339,704,3.34,33.2,3839,17.6,2.421,790,23.79,0,6.7,17,14.41,0.79,42011,13,41.0,4723,10.1061326
서울 마포구,2017,23890251,22.4,2975,15850,681,2294,2.42,35.4,10868,12.2,5.322,2812,24.36,2,4.8,27,3.73,1.64,118355,22,40.4,6092,4.895256600000001
서울 성북구,2018,24621422,32.2,4849,21564,776,1919,1.86,32.1,11819,16.0,5.723,2264,23.91,6,6.0,50,4.645,1.06,129994,29,41.5,3202,2.4039761
충남 서천군,2018,22699229,35.6,245,1845,7073,175,14.66,32.8,1367,16.9,0.668,205,15.65,0,18.9,19,9.125,1.0,24799,18,52.5,3802,13.2932415
전남 목포시,2016,112490000,31.6,4108,15494,1618,1196,4.36,29.7,2816,16.7,1.006,1823,25.27,3,7.9,58,6.73,2.16,88455,32,40.3,8511,8.7773034
경기 여주시,2017,26093192,29.9,1324,5548,16727,476,10.84,27.6,3512,15.4,3.231,628,20.87,1,8.6,34,20.54,1.01,39352,23,44.0,3986,9.197471
울산 북구,2016,120602620,30.5,4744,13265,3036,1197,6.37,18.9,2597,13.6,2.356,2122,24.85,0,3.0,37,4.61,1.78,60257,19,36.3,2570,4.090598
강원 양양군,2018,10739801,36.6,211,919,7154,102,12.3,35.0,305,12.3,3.943,134,12.61,0,14.6,15,18.385,0.73,12807,14,50.9,2708,17.4540767
경기 광명시,2018,38506472,28.7,3795,19063,2238,1674,1.99,22.1,6273,20.1,4.959,2123,25.25,0,5.8,50,3.025,1.73,104641,25,40.9,2980,2.7689763
대구 북구,2017,94071813,25.0,7488,23118,3223,2077,3.46,27.5,4826,13.4,4.378,3022,23.87,4,5.9,74,2.95,1.4,140387,37,40.1,7478,5.0573158
경기 의정부시,2016,81598379,27.8,5647,21968,3261,2149,2.97,23.7,3846,22.6,1.839,2967,25.85,1,5.9,67,1.37,1.54,133295,33,40.8,5298,3.8227038999999996
전남 강진군,2016,27041759,27.3,195,1353,11557,138,23.21,36.1,408,10.1,2.255,270,15.49,0,21.4,14,26.49,0.79,16467,14,50.1,2634,13.789853899999999
충남 홍성군,2017,36115459,28.0,1488,5521,10498,494,12.83,32.2,2196,12.9,2.178,698,21.08,2,11.0,27,7.88,1.22,43504,22,43.9,7250,14.2845884
울산 울주군,2017,487842438,26.4,3478,13554,21268,1051,9.59,25.4,7372,13.0,4.175,1593,23.41,2,6.6,51,5.44,1.72,76554,31,40.5,7839,9.2886851
전북 무주군,2018,12353295,34.7,202,1037,8004,94,27.33,34.8,238,12.6,3.187,79,14.56,0,18.7,9,32.34,0.73,10895,10,51.6,1659,13.2149116
경기 평택시,2018,152224409,34.3,7768,29706,18821,2886,6.88,29.8,23030,15.4,5.695,3586,23.99,3,5.6,110,2.775,1.42,191831,56,39.6,30728,13.806676000000001
전북 익산시,2016,76091104,28.9,4678,16180,11166,1344,10.32,31.0,4552,17.3,2.005,2010,23.68,2,8.7,86,6.99,2.26,114436,60,41.6,11888,9.410721599999999
강원 동해시,2017,124277317,31.6,1318,5062,2957,419,4.99,28.2,806,15.9,3.195,561,23.17,1,9.6,17,6.46,1.49,37245,14,43.6,4685,11.1733842
통합청주시,2017,337909981,28.5,10731,49407,24137,4532,7.26,29.4,12325,16.1,2.954,6948,24.87,8,5.8,141,4.79,1.74,271778,89,39.2,24826,8.370082700000001
대전 대덕구,2016,68419960,27.0,3121,10126,1440,991,3.46,28.4,2346,20.4,2.869,1365,22.46,2,6.0,34,5.71,1.35,61796,21,40.3,3419,5.2426589
충남 공주시,2016,60114957,24.1,1381,4742,15691,403,12.59,32.1,1918,20.4,2.92,547,20.82,2,11.0,35,15.46,1.19,41322,29,44.9,4178,9.182417599999999
경남 창원시,2018,595333663,30.2,17533,58415,15009,4928,4.98,27.1,15354,18.6,0.188,6922,23.58,5,6.5,198,3.425,1.84,343978,110,41.2,28113,7.5554098
전북 장수군,2017,5474447,30.7,200,985,10756,80,30.11,32.5,381,8.9,3.05,98,14.17,0,18.6,8,17.39,0.57,9370,8,50.4,1050,10.0767754
경남 고성군,2016,23776581,26.5,311,2156,12125,214,17.09,34.2,1710,12.8,1.87,273,16.88,0,17.6,18,16.45,1.3,23052,19,48.1,3290,12.489560399999998
경기 가평군,2016,81889445,29.8,425,2668,12406,269,8.5,31.8,1069,16.0,1.41,363,19.86,0,11.1,16,16.01,0.99,23823,13,46.5,3077,11.438661699999999
강원 정선군,2016,42548998,32.4,371,1521,16071,171,13.05,33.4,275,10.2,2.303,176,14.9,0,12.9,15,23.25,0.83,16285,16,48.0,2259,12.1818378
충남 금산군,2016,29454111,30.9,401,2269,11836,197,16.78,37.0,1727,17.7,1.401,289,18.26,1,13.2,17,23.8,0.66,22706,16,46.6,2671,10.5252788
경기 안성시,2017,155905229,31.1,2685,10734,16969,907,2.93,30.0,10656,22.4,3.252,1236,22.41,3,7.0,51,6.02,1.24,64940,34,41.0,4335,6.257668700000001
전남 강진군,2017,27041759,28.7,162,1359,11425,126,23.11,36.2,439,11.3,3.374,222,15.05,0,21.7,14,27.12,0.87,16509,14,50.9,2799,14.4965817
충남 보령시,2018,35324504,38.3,1081,4740,12836,430,12.22,31.1,2891,16.9,2.02,455,18.37,1,12.6,33,10.695,1.26,42545,29,46.9,5263,11.008617800000001
충남 홍성군,2018,36115459,27.2,1458,5732,9976,490,12.5,32.3,2285,13.8,1.656,627,20.74,2,11.3,27,7.82,1.25,43509,22,44.5,6994,13.8486823
경북 영양군,2016,11453000,18.5,128,543,12173,68,21.76,34.6,216,10.7,2.141,74,14.41,0,20.2,8,28.23,0.45,8111,6,52.6,1072,11.673745
경기 가평군,2018,81889445,31.9,322,2587,14715,244,7.8,33.3,1018,17.2,2.922,301,18.9,0,12.0,15,15.815,0.95,25083,13,47.7,3665,12.748713
경기 과천시,2016,35853000,23.0,694,3379,1304,266,2.92,19.4,235,18.3,1.912,414,26.4,0,5.5,8,18.82,1.18,15661,4,40.7,472,2.9256803000000002
서울 서대문구,2017,17685973,26.1,2649,13193,626,1546,1.73,34.3,12228,12.1,3.447,1911,23.58,6,6.0,27,4.16,1.09,94398,19,41.3,2513,2.5931009
경북 청송군,2017,6196276,28.1,230,657,13911,91,18.86,35.6,195,13.5,3.686,128,13.94,0,19.2,8,26.92,0.42,12244,8,53.7,1832,13.0150611
서울 종로구,2017,23971709,25.3,1320,5561,540,700,1.94,37.9,9487,14.5,3.284,689,24.6,3,6.8,17,41.35,1.92,45787,13,42.1,2264,4.7116605
경북 칠곡군,2016,148871154,26.3,2023,6992,10179,949,11.63,30.8,4131,16.0,2.38,1307,22.09,2,6.2,34,5.68,1.6,40970,21,39.2,4448,9.793474
서울 강동구,2016,24556203,31.3,4476,20448,3050,2399,1.61,24.7,4303,14.2,3.127,3293,25.21,0,4.7,35,2.03,1.63,116063,26,41.1,3296,2.7614172
경북 고령군,2017,32220928,36.0,163,1233,8714,118,16.61,32.1,1757,13.7,3.628,171,15.86,0,15.3,10,14.81,0.74,13833,9,49.2,1864,11.8748806
서울 광진구,2018,17075115,30.4,3050,15016,568,2164,1.58,37.9,15504,14.8,5.679,2197,24.5,3,4.8,36,2.52,1.21,85638,22,41.0,768,0.8888271999999999
부산 중구,2017,4466946,28.9,189,1396,96,224,2.24,43.1,1633,12.8,4.505,174,22.74,0,12.0,4,13.57,1.49,16893,4,47.5,2423,12.544005
경남 사천시,2018,92095429,26.9,910,6469,11958,523,10.76,31.6,3319,19.8,4.741,610,20.56,0,11.7,20,6.15,1.79,46294,18,44.6,6162,11.746988
강원 춘천시,2018,335305853,28.7,3393,14773,16930,1244,5.39,31.7,4362,18.7,3.23,1705,23.63,5,7.6,45,9.455,1.58,94907,40,42.1,6215,6.1460414
부산 영도구,2016,56165682,26.7,1057,4163,407,521,2.19,32.0,1664,12.4,2.416,619,21.86,2,11.7,15,4.75,0.68,46285,14,45.8,3923,7.8134959
전북 고창군,2016,32453860,30.1,436,2095,11598,222,25.67,33.7,911,12.9,1.96,253,17.16,0,19.9,22,11.55,0.89,24268,21,49.8,2874,10.5887554
대구 서구,2016,17328554,28.2,1427,6628,480,946,1.8,29.8,2474,17.9,3.544,1113,23.14,0,8.8,24,2.0,0.87,54530,17,44.6,1887,3.3447365
서울 서초구,2018,46899887,24.1,2916,23182,1658,2234,1.84,26.5,4212,10.1,6.552,2919,26.46,1,3.8,28,4.21,2.6,132040,24,40.5,7001,5.0352054
전남 곡성군,2016,15477288,30.4,176,999,12018,94,26.51,40.8,395,13.2,2.969,144,17.28,1,21.4,8,19.74,0.86,13196,8,50.2,2046,13.4234352
전북 완주군,2017,150497709,28.0,1463,5100,16266,432,16.92,32.1,2507,14.6,4.856,712,18.96,3,9.5,37,16.67,1.32,37053,29,43.0,4734,11.328882199999999
경남 밀양시,2017,61766865,28.8,1052,4248,17874,356,11.32,33.8,2497,16.9,4.054,627,19.91,0,16.0,25,10.19,1.34,46065,21,48.0,5734,11.0697118
경기 의왕시,2017,53991234,26.0,1821,7487,1605,621,4.63,20.1,1190,17.4,4.173,941,24.75,1,4.6,24,5.14,1.17,47110,13,40.8,1096,2.2735759
경남 고성군,2017,23215201,28.6,290,2222,10907,183,20.6,34.6,1411,12.8,2.777,229,16.41,0,17.7,18,16.65,1.28,23678,19,48.8,3801,13.8323811
부산 동구,2016,11593305,24.9,917,2570,242,385,2.78,34.6,1515,14.0,2.943,436,23.25,0,12.9,10,4.45,0.88,30089,8,47.3,2919,8.8433107
경기 고양시,2018,193400919,29.0,14242,54797,8315,4317,2.99,22.9,12664,17.5,5.219,5816,25.23,2,5.2,175,3.355,1.92,314605,83,41.2,12196,3.7319347
서울 성동구,2016,16839500,26.2,2584,12352,637,1944,3.0,31.9,7902,12.8,2.916,2531,23.25,2,5.0,31,4.68,0.93,80977,21,40.9,1264,1.5369462999999999
대구 수성구,2017,76536623,23.4,6348,23967,2631,1403,2.91,22.0,1532,11.7,5.537,1977,26.37,1,6.4,54,2.96,2.19,133564,34,41.3,5537,3.9805609
충남 청양군,2017,5959271,32.3,300,992,8592,108,22.43,33.1,589,16.9,1.895,121,14.19,1,18.0,13,15.23,0.61,13959,12,51.5,1803,11.4389037
전남 영암군,2017,101048377,27.5,553,2562,12129,234,25.38,36.3,3688,15.7,2.129,436,18.23,2,15.1,18,19.78,1.01,25665,16,45.3,4941,16.1438934
부산 부산진구,2017,29682617,28.3,5297,15375,1092,1819,3.07,33.0,2284,11.2,5.906,2288,22.86,3,8.3,47,2.42,1.55,135673,32,43.3,13680,9.159507999999999
부산 서구,2018,29362772,31.2,1007,3756,599,420,2.23,35.9,1843,12.3,5.153,426,22.85,0,12.3,10,5.04,0.98,39584,11,46.8,3600,8.3364209
대전 대덕구,2018,68692125,30.5,2631,9237,1231,807,3.21,30.6,2275,21.9,2.685,937,20.92,2,6.9,32,5.98,1.34,61367,21,41.8,3942,6.0359215
충남 예산군,2018,36812406,34.4,650,3048,9617,264,12.24,30.5,2205,14.0,2.101,256,16.76,0,14.5,26,15.035,0.96,35389,24,49.8,5395,13.228226800000002
경남 김해시,2018,267087930,31.6,9590,35453,13868,2489,6.65,25.0,18688,21.1,3.602,3433,25.04,4,5.3,91,4.495,2.09,173974,58,39.1,11261,6.079304700000001
강원 횡성군,2016,9919108,35.2,293,1765,21358,169,12.59,29.4,671,18.7,2.568,208,15.21,2,12.4,13,13.05,0.98,17797,16,48.8,2064,10.392226
인천 미추홀구,2018,24840389,30.6,4790,17945,513,2200,1.75,29.6,8929,13.1,3.715,2637,23.63,2,7.5,47,3.57,0.91,144504,23,42.0,9966,6.451738199999999
서울 송파구,2017,33858375,21.6,6261,31191,1513,3896,1.53,24.8,6677,13.0,4.601,4976,25.34,1,3.9,56,3.01,1.64,196672,39,40.4,6891,3.3851928000000004
서울 강남구,2018,39497268,24.1,4026,24858,2593,2519,1.94,30.9,5089,10.8,6.423,2940,26.07,0,4.3,40,5.34,4.17,171431,33,40.8,14952,8.0221909
서울 도봉구,2017,20679052,27.9,2929,16242,516,1543,1.86,23.4,2068,18.7,3.416,1906,23.46,1,6.8,29,3.49,1.05,104752,23,43.2,3032,2.8130335
경북 문경시,2016,37900782,29.4,892,2974,18042,285,14.61,31.4,655,13.1,2.622,442,20.6,1,15.9,26,17.4,1.15,29493,17,48.3,3325,10.1316351
대구 중구,2018,7055439,23.0,780,4306,350,428,2.54,39.1,824,10.2,5.408,546,23.93,0,9.6,12,13.995,3.88,26597,10,44.1,2357,8.1404987
경기 군포시,2018,36460228,28.8,3650,15530,1017,1428,2.45,21.8,6960,20.2,3.199,2081,25.04,1,5.4,49,2.855,1.6,87516,26,40.8,2985,3.2983061
광주 서구,2016,47776114,27.7,4688,17578,1694,1655,4.64,29.9,1702,16.8,2.992,2205,24.23,0,5.4,60,2.91,2.65,101978,30,39.5,5844,5.4200441
충남 서산시,2017,200225499,29.8,2039,10006,17876,977,9.85,28.2,4091,15.5,3.528,1396,23.52,1,8.1,41,4.08,1.33,65936,28,42.1,8030,10.8563394
강원 고성군,2017,12421767,31.1,201,959,8808,137,11.14,39.6,842,12.7,5.038,135,12.15,1,13.9,11,46.62,0.53,11545,14,46.8,1459,11.2196247
충북 제천시,2017,56691849,31.5,1735,6326,12082,569,9.05,32.2,1476,12.5,3.404,760,21.05,2,10.2,35,10.26,1.37,54173,24,44.0,5882,9.7943552
전남 신안군,2018,3720000,38.4,201,974,17321,150,22.87,38.3,773,12.2,3.874,198,9.45,0,21.0,22,14.355,0.19,16961,19,53.7,2071,10.881673
서울 도봉구,2016,20850000,27.9,3027,16760,558,1636,1.96,22.6,2052,18.0,2.609,2249,24.09,1,6.4,30,3.45,1.07,104170,23,42.4,2879,2.6894226
인천 남동구,2017,69090152,30.4,9936,29429,2511,2826,2.01,24.1,12181,13.1,3.289,3850,25.07,0,5.1,87,1.86,1.29,177023,38,39.9,1608,0.9001797
강원 고성군,2018,12421767,33.5,181,939,10774,140,10.89,38.9,974,14.5,8.058,106,11.76,1,14.6,11,48.345,0.57,11653,14,47.8,1524,11.5656067
경기 하남시,2016,93044654,26.8,2302,9254,4326,1124,3.25,22.1,1840,13.7,3.161,1600,24.85,0,4.4,28,2.84,0.82,58396,17,39.8,3199,5.1936034
인천 연수구,2017,123327193,29.0,5569,20803,2237,1535,3.22,21.9,9135,13.6,3.176,2440,26.1,1,3.9,42,3.28,1.69,101399,27,38.1,3702,3.5223261
경기 평택시,2016,150783352,29.4,7953,28000,22750,2901,7.01,27.6,19935,14.9,4.223,4179,25.06,3,5.3,107,2.55,1.4,162960,54,38.9,18686,10.2870418
전북 군산시,2016,207398894,28.8,4131,15626,8330,1437,8.46,30.5,5490,15.5,1.257,2104,24.09,5,8.1,70,4.32,2.14,109477,56,41.1,15188,12.183050600000001
충남 논산시,2016,49847710,29.4,739,5912,12890,529,13.98,31.7,3809,18.6,1.997,713,20.76,2,12.9,32,5.68,1.01,46943,33,45.2,4708,9.115022
강원 영월군,2017,26383940,35.1,332,1387,15723,139,12.74,35.3,260,14.6,2.946,142,13.86,1,15.0,15,69.88,0.7,16970,13,49.7,2214,11.5408674
충남 당진시,2018,74954163,33.2,1582,10316,21207,1062,9.1,32.1,5774,15.2,1.992,1380,22.86,1,7.9,36,7.155,1.22,63534,30,42.1,7525,10.5897916
광주 동구,2016,49319022,27.0,893,3229,1323,452,4.32,39.6,1254,11.7,2.601,559,24.32,3,8.2,17,15.66,3.09,32210,10,43.9,2093,6.1015071999999995
